OID_,Value,Count,EPA_L3_R,LC16_BPS_200,US_L3CODE,L3_KEY,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR
1,1,564,103,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
2,2,613,103,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
3,3,35,103,-9999,2,2  Puget Lowland,NA,NoData,NA,NA,NA,0.000000000000000
4,4,1,103,729,2,2  Puget Lowland,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,3606,1742,NA,1172.000000000000000
5,5,58,103,31,2,2  Puget Lowland,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
6,6,968,103,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
7,7,9850,103,759,2,2  Puget Lowland,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,NA,NA,NA,0.000000000000000
8,8,1486,103,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
9,9,360,103,721,2,2  Puget Lowland,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,253,129,276,65.000000000000000
10,10,152,103,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
11,11,435,102,-9999,2,2  Puget Lowland,NA,NoData,NA,NA,NA,0.000000000000000
12,12,280778,102,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
13,13,5450189,102,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
14,14,15439,102,31,2,2  Puget Lowland,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
15,15,176986,102,720,2,2  Puget Lowland,10080_1_2_3_7,North Pacific Oak Woodland,293,37,14,10.000000000000000
16,16,3159280,102,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
17,17,1039689,102,759,2,2  Puget Lowland,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,NA,NA,NA,0.000000000000000
18,18,10,101,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
19,19,24,101,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
20,20,371203,102,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
21,21,29401,102,736,2,2  Puget Lowland,10630_1,North Pacific Broadleaf Landslide Forest and Shrubland,457,915,NA,304.000000000000000
22,22,4806,102,721,2,2  Puget Lowland,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,253,129,276,65.000000000000000
23,23,2183709,102,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
24,24,856,102,730,2,2  Puget Lowland,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,184,107,32,22.000000000000000
25,25,4842,102,729,2,2  Puget Lowland,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,3606,1742,NA,1172.000000000000000
26,26,543,102,758,2,2  Puget Lowland,11740_1_7,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,334,308,NA,160.000000000000000
27,27,1008286,1008,726,77,77  North Cascades,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
28,28,188892,1008,723,77,77  North Cascades,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
29,29,9812,1008,720,77,77  North Cascades,10080_1_2_3_7,North Pacific Oak Woodland,293,37,14,10.000000000000000
30,30,2170902,1008,759,77,77  North Cascades,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,NA,NA,NA,0.000000000000000
31,31,6181467,1008,729,77,77  North Cascades,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,3606,1742,NA,1172.000000000000000
32,32,702494,1008,724,77,77  North Cascades,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
33,33,26914,1008,736,77,77  North Cascades,10630_1,North Pacific Broadleaf Landslide Forest and Shrubland,457,915,NA,304.000000000000000
34,34,621672,1008,750,77,77  North Cascades,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
35,35,6002,1008,757,77,77  North Cascades,11730_1_7,North Pacific Wooded Volcanic Flowage,497,NA,NA,497.000000000000000
36,36,1977196,1008,721,77,77  North Cascades,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,253,129,276,65.000000000000000
37,37,5643087,1008,730,77,77  North Cascades,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,184,107,32,22.000000000000000
38,38,138514,1008,758,77,77  North Cascades,11740_1_7,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,334,308,NA,160.000000000000000
39,39,3042872,1008,727,77,77  North Cascades,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,10910,5135,NA,3461.000000000000000
40,40,4146,1008,-9999,77,77  North Cascades,NA,NoData,NA,NA,NA,0.000000000000000
41,41,1481303,1008,731,77,77  North Cascades,10460_1_7_9,Northern Rocky Mountain Subalpine Woodland and Parkland,345,79,NA,64.000000000000000
42,42,483029,1008,11,77,77  North Cascades,NA,Open Water,NA,NA,NA,0.000000000000000
43,43,627679,1008,725,77,77  North Cascades,10380_1_7,North Pacific Maritime Mesic Subalpine Parkland,5183,NA,NA,5183.000000000000000
44,44,142924,1008,740,77,77  North Cascades,10830_1,North Pacific Avalanche Chute Shrubland,998,NA,NA,998.000000000000000
45,45,172852,1008,741,77,77  North Cascades,10840_1,North Pacific Montane Shrubland,10975,NA,NA,10975.000000000000000
46,46,517275,1008,756,77,77  North Cascades,11710_1,North Pacific Alpine and Subalpine Dry Grassland,504,NA,NA,504.000000000000000
47,47,41267,1008,718,77,77  North Cascades,10030,North Pacific Sparsely Vegetated Systems,NA,NA,NA,0.000000000000000
48,48,92969,1008,752,77,77  North Cascades,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,1888,1598,NA,865.000000000000000
49,49,1446593,1008,31,77,77  North Cascades,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
50,50,150,100,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
51,51,1859,100,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
52,52,129,100,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
53,53,278,100,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
54,54,57,100,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
55,55,14,99,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
56,56,1066803,1008,734,77,77  North Cascades,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,120,415,NA,93.000000000000000
57,57,510625,1008,733,77,77  North Cascades,10550_1_8_9,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,232,248,NA,120.000000000000000
58,58,1104512,1008,738,77,77  North Cascades,10680_1_7,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,NA,NA,NA,0.000000000000000
59,59,220810,18,31,1,1  Coast Range,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
60,60,6157022,18,723,1,1  Coast Range,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
61,61,668447,18,11,1,1  Coast Range,NA,Open Water,NA,NA,NA,0.000000000000000
62,62,6082862,18,726,1,1  Coast Range,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
63,63,482731,18,750,1,1  Coast Range,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
64,64,161999,18,751,1,1  Coast Range,11570_1_2,North Pacific Swamp Systems,NA,NA,NA,0.000000000000000
65,65,1221578,18,729,1,1  Coast Range,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,3606,1742,NA,1172.000000000000000
66,66,1385234,18,752,1,1  Coast Range,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,1888,1598,NA,865.000000000000000
67,67,1091362,18,724,1,1  Coast Range,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
68,68,1930213,18,759,1,1  Coast Range,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,NA,NA,NA,0.000000000000000
69,69,10,100,759,2,2  Puget Lowland,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,NA,NA,NA,0.000000000000000
70,70,33,100,31,2,2  Puget Lowland,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
71,71,13,98,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
72,72,6,97,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
73,73,17,98,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
74,74,43,98,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
75,75,1,96,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
76,76,4,96,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
77,77,3,95,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
78,78,5,95,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
79,79,3,95,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
80,80,2,98,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
81,81,42,94,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
82,82,13,94,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
83,83,9,94,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
84,84,11,94,31,2,2  Puget Lowland,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
85,85,1,98,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
86,86,10,93,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
87,87,12,93,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
88,88,1,94,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
89,89,1,93,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
90,90,77,91,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
91,91,13,91,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
92,92,136,92,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
93,93,24,92,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
94,94,16,91,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
95,95,6570,90,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
96,96,266,90,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
97,97,205,90,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
98,98,3,91,759,2,2  Puget Lowland,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,NA,NA,NA,0.000000000000000
99,99,12,92,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
100,100,29,90,31,2,2  Puget Lowland,NA,Barren-Rock/Sand/Clay,NA,NA,NA,0.000000000000000
101,101,9,91,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
102,102,5,92,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
103,103,394,90,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
104,104,491,90,759,2,2  Puget Lowland,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,NA,NA,NA,0.000000000000000
105,105,11,90,721,2,2  Puget Lowland,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,253,129,276,65.000000000000000
106,106,2,89,724,2,2  Puget Lowland,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,336,105,NA,80.000000000000000
107,107,4,89,11,2,2  Puget Lowland,NA,Open Water,NA,NA,NA,0.000000000000000
108,108,3,89,723,2,2  Puget Lowland,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,657,NA,NA,657.000000000000000
109,109,2,89,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
110,110,2,91,726,2,2  Puget Lowland,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,404,NA,NA,404.000000000000000
111,111,17,90,720,2,2  Puget Lowland,10080_1_2_3_7,North Pacific Oak Woodland,293,37,14,10.000000000000000
112,112,241,90,750,2,2  Puget Lowland,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,749,NA,NA,749.000000000000000
