l3code,bps_mode,mfri_all,count
1,10080_1_2_3_7,10,10858
1,10140_4_5,8,453612
1,10150_2_3_4,30,9185335
1,10180_1_7,65,14579
1,10210_2_3_6_7,9,110440
1,10220_2_3_6_7,9,12672
1,10270_2_3_7,8,309999
1,10270_4_5_6,11,1606
1,10280_2_3,15,99141
1,10290_2_3_4_5_6_7_12,8,64340
1,10300_2_3_4_5_6_7,10,97255
1,10310_2_3_4_5_6_12,9,23160
1,10320_2_3_7,25,148
1,10350_1_2_7,35,42175
1,10360_1_2,657,10192406
1,10370_1_2_7,80,7684311
1,10380_1_7,5183,5912
1,10390_1_2_3_7,404,16636678
1,10411_1_7,3461,225702
1,10420_1_7,1172,1221796
1,10431_2_3_6_7,14,1451
1,10432_2_3,40,4869854
1,10450_1_7_8_9,22,2697
1,10550_1_8_9,120,1
1,10560_1_7_8_9,93,675
1,10600_1_2_7,28,273
1,10630_1,304,101880
1,10630_2_7,83,30283
1,10680_1_7,0,535
1,10830_1,998,2926
1,10840_1,10975,2249
1,10920_4,150,11416
1,10960_3,108,2930
1,10960_4,124,8685
1,10970_3_6_7,54,25559
1,10970_4_5,79,42235
1,10980_3,34,5272
1,10980_4,39,12024
1,10990_4,81,18
1,11050_3_6_7,74,9289
1,11050_4_5,50,107688
1,11100_4,51,625
1,11120_4_5,11,3112
1,11130_3,13,2274
1,11130_4,13,174653
1,11140_3_6_7,9,7877
1,11140_4_5,12,377
1,11180_4,16,327
1,11200_1_2_7,10,318
1,11230_1_7_8_9,39,1
1,11280_2_3_4,110,390280
1,11290_4_5,4,3412
1,11300_3_4,7,3921
1,11310_2_3_4,2,117428
1,11380_3_5,64,9358
1,11520_2_3_7,35,562917
1,11520_4_5,43,134173
1,11560_1_2_7,749,1997620
1,11570_1_2,0,428043
1,11581_1_2_7,865,1542666
1,11582_1_2_7,155,8160
1,11630_3_4_5,11,80398
1,11700_2_3_7,13,129630
1,11710_1,504,8061
1,11730_1_7,497,1242
1,11740_1_7,160,33092
1,11770_3,22,1491
1,11770_4,36,1818
1,11780_1_2_7,0,2086657
2,10080_1_2_3_7,10,199133
2,10180_1_7,65,45202
2,10350_1_2_7,35,13461
2,10360_1_2,657,496505
2,10370_1_2_7,80,5726719
2,10390_1_2_3_7,404,6124534
2,10411_1_7,3461,549
2,10420_1_7,1172,49311
2,10450_1_7_8_9,22,9163
2,10531_1_7_8_9,14,2512
2,10550_1_8_9,120,12
2,10560_1_7_8_9,93,476
2,10600_1_2_7,28,2246
2,10630_1,304,43348
2,10680_1_7,0,965
2,10830_1,998,12
2,10840_1,10975,3063
2,11200_1_2_7,10,18739
2,11230_1_7_8_9,39,30
2,11250_1_7_8_9_10_19,59,102
2,11380_1,771,1896
2,11560_1_2_7,749,3922277
2,11570_1_2,0,19155
2,11581_1_2_7,865,674
2,11582_1_2_7,155,2
2,11710_1,504,135
2,11730_1_7,497,1011
2,11740_1_7,160,4261
2,11780_1_2_7,0,1650135
3,10080_1_2_3_7,10,3611682
3,10270_2_3_7,8,91
3,10280_4_6_7_12,17,6
3,10290_2_3_4_5_6_7_12,8,46
3,10300_2_3_4_5_6_7,10,612
3,10350_1_2_7,35,2611216
3,10360_1_2,657,22
3,10370_1_2_7,80,1735491
3,10390_1_2_3_7,404,959500
3,10431_2_3_6_7,14,17600
3,10531_1_7_8_9,14,144
3,10600_1_2_7,28,868575
3,10630_1,304,16642
3,11200_1_2_7,10,4561306
3,11250_1_7_8_9_10_19,59,10
3,11520_2_3_7,35,181406
3,11540_1_7_8_9,99,3054
3,11560_1_2_7,749,1476272
3,11570_1_2,0,51
3,11581_1_2_7,865,91552
3,11582_1_2_7,155,6262
3,11730_1_7,497,10
3,11740_1_7,160,5
3,11780_1_2_7,0,14100
4,10080_1_2_3_7,10,46073
4,10110_6_10_12_17_18_,31,1258
4,10110_7,56,5184
4,10140_4_5,8,527
4,10170_6_7_8_9_12_18,169,98305
4,10180_1_7,65,1031050
4,10190_6_7_9_12_16_17,440,2293
4,10210_2_3_6_7,9,25636
4,10220_2_3_6_7,9,41
4,10270_2_3_7,8,2367915
4,10270_4_5_6,11,738720
4,10280_4_6_7_12,17,7872385
4,10290_2_3_4_5_6_7_12,8,119368
4,10300_2_3_4_5_6_7,10,440152
4,10310_2_3_4_5_6_12,9,2813739
4,10310_7,19,554336
4,10320_2_3_7,25,2443230
4,10321_6,34,729768
4,10322_6,52,282016
4,10330_3_6_7,258,23458
4,10340_4_6_7,68,78752
4,10350_1_2_7,35,71075
4,10360_1_2,657,41265
4,10370_1_2_7,80,7607276
4,10380_1_7,5183,267958
4,10390_1_2_3_7,404,15486943
4,10411_1_7,3461,434116
4,10412_1_7,166,3387583
4,10420_1_7,1172,4119697
4,10431_2_3_6_7,14,21790
4,10440_3_6_7,327,31006
4,10450_1_7_8_9,22,85475
4,10460_1_7_9,64,147063
4,10531_1_7_8_9,14,68423
4,10532_7_9,47,11060
4,10550_1_8_9,120,26067
4,10560_1_7_8_9,93,147254
4,10580_7,80,13883
4,10581_6,36,875
4,10582_6,26,416
4,10600_1_2_7,28,39661
4,10610_6,36,869
4,10620_6_12_17_18,69,125
4,10620_7_9,77,51497
4,10630_1,304,72229
4,10630_2_7,83,65
4,10670_6,526,1695
4,10680_1_7,0,129594
4,10710_6,228,17
4,10800_1_7_8_9,101,22287
4,10804_6_12_15_16_17_,120,50920
4,10810_7_8_9,698,40
4,10830_1,998,10804
4,10840_1,10975,32709
4,10880_4_5,0,3
4,10970_3_6_7,54,3
4,10970_4_5,79,3
4,10980_6,34,7978
4,10980_7,34,115274
4,11030_6_7_12_13_16_1,50,2230
4,11050_3_6_7,74,13163
4,11050_4_5,50,4525
4,11060_1_8_9,41,1
4,11140_3_6_7,9,72474
4,11140_4_5,12,22318
4,11200_1_2_7,10,12507
4,11230_1_7_8_9,39,662
4,11240_1_7_8_9,222,2563
4,11250_1_7_8_9_10_19,59,10271
4,11260_1_7_8_9_10_19,31,10402
4,11260_6_12_17_18_28,49,165125
