epa_value,bps_model,mfri_all,count
1,10080_1_2_3_7,10,430
1,10180_1_7,65,12
1,10350_1_2_7,35,32
1,10450_1_7_8_9,22,246593
1,10451_10_19,19,113600
1,10452_10_19,37,61
1,10530_10_19,13,91355
1,10531_1_7_8_9,14,75499
1,10560_1_7_8_9,93,2
1,10560_10_19,181,13
1,10600_1_2_7,28,3
1,10610_8_9_17,27,368
1,10620_10_19_21_29_31,69,878
1,10650_1_8_9_10,253,1078512
1,10790_6_9_10_12_16_17_18,84,2
1,10800_1_7_8_9,101,65140
1,10800_10_19,80,108805
1,10810_7_8_9,698,3
1,11060_1_8_9,41,2244
1,11060_10_19,82,835
1,11230_1_7_8_9,39,7296300
1,11230_10_18,50,314009
1,11240_1_7_8_9,222,5483
1,11240_10_12_17_18_19_21,201,13504
1,11250_1_7_8_9_10_19,59,879580
1,11260_1_7_8_9_10_19,31,407226
1,11270_7_8_9,212,12
1,11340_10,14,266
1,11350_7_8_9_10_12_17_18,81,132422
1,11390_10_19,17,45776
1,11390_8_9,35,5
1,11420_8,18,300
1,11450_9_10_19,32,18
1,11530_6_10_12_13_17_18_19_21,1024,635
1,11530_7_8_9,1019,6151
1,11540_1_7_8_9,99,459299
1,11540_10_19,173,175184
1,11560_1_2_7,749,4968
1,11590_10_19,50,216862
1,11590_8_9,50,3033
1,11610_9_10_19,386,41
1,11650_1_7_8,54,58110
1,11660_9_10_19,27,747
2,10450_1_7_8_9,22,30240
2,10451_10_19,19,4713
2,10452_10_19,37,1
2,10530_10_19,13,166
2,10531_1_7_8_9,14,53711
2,10560_10_19,181,1
2,10610_8_9_17,27,57
2,10650_1_8_9_10,253,138403
2,10800_1_7_8_9,101,77531
2,10800_10_19,80,11533
2,11060_1_8_9,41,113
2,11230_1_7_8_9,39,10298800
2,11230_10_18,50,9927
2,11240_1_7_8_9,222,70
2,11240_10_12_17_18_19_21,201,1170
2,11250_1_7_8_9_10_19,59,2361533
2,11260_1_7_8_9_10_19,31,526891
2,11270_7_8_9,212,315
2,11350_7_8_9_10_12_17_18,81,33897
2,11390_10_19,17,1593
2,11390_8_9,35,1
2,11530_7_8_9,1019,296
2,11540_1_7_8_9,99,338829
2,11540_10_19,173,5279
2,11590_10_19,50,2898
2,11590_8_9,50,10854
2,11610_9_10_19,386,4
2,11650_1_7_8,54,7027
3,10080_1_2_3_7,10,2535
3,10110_9,27,481
3,10170_6_7_8_9_12_18,169,50067
3,10180_1_7,65,2458
3,10270_2_3_7,8,471
3,10280_4_6_7_12,17,2
3,10310_7,19,30
3,10370_1_2_7,80,1029
3,10390_1_2_3_7,404,293
3,10431_2_3_6_7,14,2632
3,10450_1_7_8_9,22,29242
3,10470_8_9,70,25
3,10531_1_7_8_9,14,128220
3,10532_7_9,47,3718
3,10600_1_2_7,28,142934
3,10610_8_9_17,27,111
3,10620_7_9,77,35
3,10650_1_8_9_10,253,758557
3,10800_1_7_8_9,101,182390
3,10810_7_8_9,698,104
3,11030_6_7_12_13_16_17_23,50,1
3,11050_3_6_7,74,28
3,11060_1_8_9,41,1789
3,11230_1_7_8_9,39,8647808
3,11240_1_7_8_9,222,58511
3,11250_1_7_8_9_10_19,59,351759
3,11260_1_7_8_9_10_19,31,117607
3,11270_7_8_9,212,6061
3,11340_8_9,9,33579
3,11350_7_8_9_10_12_17_18,81,6039
3,11390_8_9,35,474
3,11420_8,18,25
3,11520_2_3_7,35,12
3,11530_7_8_9,1019,5149
3,11540_1_7_8_9,99,103242
3,11560_1_2_7,749,14
3,11581_1_2_7,865,40
3,11582_1_2_7,155,3920
3,11590_8_9,50,8972
3,11650_1_7_8,54,64
3,11650_9,18,1
4,10450_1_7_8_9,22,27940
4,10531_1_7_8_9,14,23431
4,10650_1_8_9_10,253,21428
4,10800_1_7_8_9,101,3144
4,11060_1_8_9,41,12
4,11230_1_7_8_9,39,2063900
4,11250_1_7_8_9_10_19,59,18504
4,11260_1_7_8_9_10_19,31,115329
4,11350_7_8_9_10_12_17_18,81,48208
4,11390_8_9,35,2
4,11420_8,18,3
4,11530_7_8_9,1019,6617
4,11540_1_7_8_9,99,55200
4,11590_8_9,50,9
4,11650_1_7_8,54,17418
5,10080_1_2_3_7,10,14199
5,10170_6_7_8_9_12_18,169,1313
